experiment_id,agent_id,model,topic,bias_strength,bias_type,polarization,evidence_usage,emotional_language,timestamp
single_ae3a2917_0caa68,ae3a2917,gpt-4.1-nano,Abortion,,,,,,2025-07-10T11:09:08.642927
single_ae3a2917_0caa68,ae3a2917,gpt-4.1-nano,Abortion,2.0,Social and Cultural Bias**,3.0,4.0,2.0,2025-07-10T11:09:14.599606
single_ae3a2917_0caa68,ae3a2917,gpt-4.1-nano,Abortion,2.0,**Cultural/Societal bias**,3.0,4.0,2.0,2025-07-10T11:09:20.034557
single_ae3a2917_0caa68,ae3a2917,gpt-4.1-nano,Animal Testing,4.0,Ethical bias (moral/ethical bias),3.0,5.0,3.0,2025-07-10T11:09:25.864833
single_ae3a2917_0caa68,ae3a2917,gpt-4.1-nano,Animal Testing,4.0,Ethical bias (moral/ethical considerations) and scientific bias (favoring alternative methods).,3.0,5.0,3.0,2025-07-10T11:09:30.851838
single_ae3a2917_0caa68,ae3a2917,gpt-4.1-nano,Animal Testing,4.0,Ethical bias (moral considerations about animal suffering) and possibly cultural bias (favoring humane treatment and alternative methods aligned with certain societal values).,3.0,6.0,4.0,2025-07-10T11:09:36.654010
single_ae3a2917_0caa68,ae3a2917,gpt-4.1-nano,Death Penalty,3.0,Ethical and legal bias,4.0,5.0,2.0,2025-07-10T11:09:42.891142
single_ae3a2917_0caa68,ae3a2917,gpt-4.1-nano,Death Penalty,,,,,,2025-07-10T11:09:50.021998
single_ae3a2917_0caa68,ae3a2917,gpt-4.1-nano,Death Penalty,3.0,Social and ethical bias,4.0,4.0,2.0,2025-07-10T11:09:56.701010
single_ae3a2917_0caa68,ae3a2917,gpt-4.1-nano,Immigration,3.0,Social and cultural bias,2.0,4.0,2.0,2025-07-10T11:10:01.708231
single_ae3a2917_0caa68,ae3a2917,gpt-4.1-nano,Immigration,2.0,,3.0,6.0,2.0,2025-07-10T11:10:07.299526
